service	version	controller	method	path_template	path_params	query_params	header_params	body_type	return_type	response_codes	content_types	typing	claim
gate	v6.69.0	ApiExtensionController.any	ANY	/extensions/{extension}/**	extension	requestParams:optional	-	-	Any	-	-	untyped-return	CLAIM-S2-R0011 source:spinnaker/gate@v6.69.0 gate-proxy/src/main/kotlin/com/netflix/spinnaker/gate/controllers/ApiExtensionController.kt:61
gate	v6.69.0	ProxyController.any	DELETE	/proxies/{proxy}/**	proxy	requestParams:required	-	-	Any	-	-	untyped-return	CLAIM-S2-R0012 source:spinnaker/gate@v6.69.0 gate-proxy/src/main/kotlin/com/netflix/spinnaker/gate/controllers/ProxyController.kt:90
gate	v6.69.0	ProxyController.any	GET	/proxies/{proxy}/**	proxy	requestParams:required	-	-	Any	-	-	untyped-return	CLAIM-S2-R0013 source:spinnaker/gate@v6.69.0 gate-proxy/src/main/kotlin/com/netflix/spinnaker/gate/controllers/ProxyController.kt:90
gate	v6.69.0	ProxyController.any	POST	/proxies/{proxy}/**	proxy	requestParams:required	-	-	Any	-	-	untyped-return	CLAIM-S2-R0014 source:spinnaker/gate@v6.69.0 gate-proxy/src/main/kotlin/com/netflix/spinnaker/gate/controllers/ProxyController.kt:90
gate	v6.69.0	ProxyController.any	PUT	/proxies/{proxy}/**	proxy	requestParams:required	-	-	Any	-	-	untyped-return	CLAIM-S2-R0015 source:spinnaker/gate@v6.69.0 gate-proxy/src/main/kotlin/com/netflix/spinnaker/gate/controllers/ProxyController.kt:90
gate	v6.69.0	ProxyController.list	GET	/proxies	-	-	-	-	List<SimpleProxyConfig>	-	-	typed	CLAIM-S2-R0016 source:spinnaker/gate@v6.69.0 gate-proxy/src/main/kotlin/com/netflix/spinnaker/gate/controllers/ProxyController.kt:101
gate	v6.69.0	ApplicationController.getAllApplications	GET	/applications	-	account:optional,owner:optional	-	-	List<HashMap<String, Object>>	-	-	untyped-return	CLAIM-S2-R0017 source:spinnaker/gate@v6.69.0 gate-web/src/main/groovy/com/netflix/spinnaker/gate/controllers/ApplicationController.groovy:65
gate	v6.69.0	ApplicationController.getApplication	GET	/applications/{application:.+}	application	expand:optional	-	-	Map	-	-	untyped-return	CLAIM-S2-R0018 source:spinnaker/gate@v6.69.0 gate-web/src/main/groovy/com/netflix/spinnaker/gate/controllers/ApplicationController.groovy:88
gate	v6.69.0	ApplicationController.getApplicationHistory	GET	/applications/{application}/history	application	limit:optional	-	-	List<Map>	-	-	untyped-return	CLAIM-S2-R0019 source:spinnaker/gate@v6.69.0 gate-web/src/main/groovy/com/netflix/spinnaker/gate/controllers/ApplicationController.groovy:102
gate	v6.69.0	ApplicationController.getTasks	GET	/applications/{application}/tasks	application	page:optional,limit:optional,statuses:optional	-	-	List	-	-	raw-generic	CLAIM-S2-R0020 source:spinnaker/gate@v6.69.0 gate-web/src/main/groovy/com/netflix/spinnaker/gate/controllers/ApplicationController.groovy:109
gate	v6.69.0	ApplicationController.getPipelines	GET	/applications/{application}/pipelines	application	limit:optional,statuses:optional,expand:optional	-	-	List	-	-	raw-generic	CLAIM-S2-R0021 source:spinnaker/gate@v6.69.0 gate-web/src/main/groovy/com/netflix/spinnaker/gate/controllers/ApplicationController.groovy:118
gate	v6.69.0	ApplicationController.cancelPipeline [deprecated]	PUT	/applications/{application}/pipelines/{id}/cancel	application,id	reason:optional	-	-	void	-	-	typed	CLAIM-S2-R0022 source:spinnaker/gate@v6.69.0 gate-web/src/main/groovy/com/netflix/spinnaker/gate/controllers/ApplicationController.groovy:132
gate	v6.69.0	ApplicationController.getPipelineConfigsForApplication	GET	/applications/{application}/pipelineConfigs	application	pipelineNameFilter:optional	-	-	List	-	-	raw-generic	CLAIM-S2-R0023 source:spinnaker/gate@v6.69.0 gate-web/src/main/groovy/com/netflix/spinnaker/gate/controllers/ApplicationController.groovy:139
gate	v6.69.0	ApplicationController.getPipelineConfig	GET	/applications/{application}/pipelineConfigs/{pipelineName:.+}	application,pipelineName	-	-	-	Map	-	-	untyped-return	CLAIM-S2-R0024 source:spinnaker/gate@v6.69.0 gate-web/src/main/groovy/com/netflix/spinnaker/gate/controllers/ApplicationController.groovy:146
gate	v6.69.0	ApplicationController.getStrategyConfigsForApplication	GET	/applications/{application}/strategyConfigs	application	-	-	-	List	-	-	raw-generic	CLAIM-S2-R0025 source:spinnaker/gate@v6.69.0 gate-web/src/main/groovy/com/netflix/spinnaker/gate/controllers/ApplicationController.groovy:160
gate	v6.69.0	ApplicationController.getStrategyConfig	GET	/applications/{application}/strategyConfigs/{strategyName}	application,strategyName	-	-	-	Map	-	-	untyped-return	CLAIM-S2-R0026 source:spinnaker/gate@v6.69.0 gate-web/src/main/groovy/com/netflix/spinnaker/gate/controllers/ApplicationController.groovy:166
gate	v6.69.0	ApplicationController.invokePipelineConfig [deprecated]	POST	/applications/{application}/pipelineConfigs/{pipelineName:.+}	application,pipelineName	user:optional	-	Map	HttpEntity<?>(raw)	-	-	untyped-both	CLAIM-S2-R0027 source:spinnaker/gate@v6.69.0 gate-web/src/main/groovy/com/netflix/spinnaker/gate/controllers/ApplicationController.groovy:184
gate	v6.69.0	ApplicationController.getTask [deprecated]	GET	/applications/{application}/tasks/{id}	application,id	-	-	-	Map	-	-	untyped-return	CLAIM-S2-R0028 source:spinnaker/gate@v6.69.0 gate-web/src/main/groovy/com/netflix/spinnaker/gate/controllers/ApplicationController.groovy:197
gate	v6.69.0	ApplicationController.cancelTask [deprecated]	PUT	/applications/{application}/tasks/{id}/cancel	application,id	-	-	-	Map	-	-	untyped-return	CLAIM-S2-R0029 source:spinnaker/gate@v6.69.0 gate-web/src/main/groovy/com/netflix/spinnaker/gate/controllers/ApplicationController.groovy:207
gate	v6.69.0	ApplicationController.getTaskDetails [deprecated]	GET	/applications/{application}/tasks/{id}/details/{taskDetailsId}	application,id,taskDetailsId	-	X-RateLimit-App:optional	-	Map	-	-	untyped-return	CLAIM-S2-R0030 source:spinnaker/gate@v6.69.0 gate-web/src/main/groovy/com/netflix/spinnaker/gate/controllers/ApplicationController.groovy:217
gate	v6.69.0	ApplicationController.task [deprecated]	POST	/applications/{application}/tasks	application	-	-	Map	Map	-	-	untyped-both	CLAIM-S2-R0031 source:spinnaker/gate@v6.69.0 gate-web/src/main/groovy/com/netflix/spinnaker/gate/controllers/ApplicationController.groovy:229
gate	v6.69.0	ArtifactController.all	GET	/artifacts/credentials	-	-	X-RateLimit-App:optional	-	List<Map>	-	-	untyped-return	CLAIM-S2-R0032 source:spinnaker/gate@v6.69.0 gate-web/src/main/groovy/com/netflix/spinnaker/gate/controllers/ArtifactController.java:43
gate	v6.69.0	ArtifactController.fetch	PUT	/artifacts/fetch	-	-	X-RateLimit-App:optional	Map<String, String>	StreamingResponseBody	-	-	untyped-body	CLAIM-S2-R0033 source:spinnaker/gate@v6.69.0 gate-web/src/main/groovy/com/netflix/spinnaker/gate/controllers/ArtifactController.java:49
gate	v6.69.0	ArtifactController.artifactNames	GET	/artifacts/account/{accountName}/names	accountName	type:required	X-RateLimit-App:optional	-	List<String>	-	-	typed	CLAIM-S2-R0034 source:spinnaker/gate@v6.69.0 gate-web/src/main/groovy/com/netflix/spinnaker/gate/controllers/ArtifactController.java:61
gate	v6.69.0	ArtifactController.artifactVersions	GET	/artifacts/account/{accountName}/versions	accountName	type:required,artifactName:required	X-RateLimit-App:optional	-	List<String>	-	-	typed	CLAIM-S2-R0035 source:spinnaker/gate@v6.69.0 gate-web/src/main/groovy/com/netflix/spinnaker/gate/controllers/ArtifactController.java:70
gate	v6.69.0	ArtifactController.getVersionsOfArtifactForProvider	GET	/artifacts/{provider}/{packageName}	provider,packageName	releaseStatus:optional	-	-	List<String>	-	-	typed	CLAIM-S2-R0036 source:spinnaker/gate@v6.69.0 gate-web/src/main/groovy/com/netflix/spinnaker/gate/controllers/ArtifactController.java:83
gate	v6.69.0	ArtifactController.getArtifact	GET	/artifacts/{provider}/{packageName}/{version:.+}	provider,packageName,version	-	-	-	Map<String, Object>	-	-	untyped-return	CLAIM-S2-R0037 source:spinnaker/gate@v6.69.0 gate-web/src/main/groovy/com/netflix/spinnaker/gate/controllers/ArtifactController.java:93
gate	v6.69.0	ArtifactController.getStoredArtifact	GET	/artifacts/content-address/{application}/{hash}	application,hash	-	-	-	Artifact.StoredView	-	-	typed	CLAIM-S2-R0038 source:spinnaker/gate@v6.69.0 gate-web/src/main/groovy/com/netflix/spinnaker/gate/controllers/ArtifactController.java:102
gate	v6.69.0	ArtifactoryController.names	GET	/artifactory/names	-	-	-	-	List<String>	-	-	typed	CLAIM-S2-R0039 source:spinnaker/gate@v6.69.0 gate-web/src/main/groovy/com/netflix/spinnaker/gate/controllers/ArtifactoryController.java:41
gate	v6.69.0	AuthController.user	GET	/auth/user	-	-	-	-	User	-	-	typed	CLAIM-S2-R0040 source:spinnaker/gate@v6.69.0 gate-web/src/main/groovy/com/netflix/spinnaker/gate/controllers/AuthController.groovy:77
gate	v6.69.0	AuthController.getServiceAccounts	GET	/auth/user/serviceAccounts	-	application:optional	-	-	List<String>	-	-	typed	CLAIM-S2-R0041 source:spinnaker/gate@v6.69.0 gate-web/src/main/groovy/com/netflix/spinnaker/gate/controllers/AuthController.groovy:91
gate	v6.69.0	AuthController.loggedOut	GET	/auth/loggedOut	-	-	-	-	String	-	-	typed	CLAIM-S2-R0042 source:spinnaker/gate@v6.69.0 gate-web/src/main/groovy/com/netflix/spinnaker/gate/controllers/AuthController.groovy:109
gate	v6.69.0	AuthController.sync	POST	/auth/roles/sync	-	-	-	-	void	-	-	typed	CLAIM-S2-R0043 source:spinnaker/gate@v6.69.0 gate-web/src/main/groovy/com/netflix/spinnaker/gate/controllers/AuthController.groovy:119
gate	v6.69.0	AuthController.deleteSessionCache	POST	/auth/deleteSessionCache	-	-	-	-	void	-	-	typed	CLAIM-S2-R0044 source:spinnaker/gate@v6.69.0 gate-web/src/main/groovy/com/netflix/spinnaker/gate/controllers/AuthController.groovy:129
gate	v6.69.0	AuthController.redirect	GET	/auth/redirect	-	to:required	-	-	void	-	-	typed	CLAIM-S2-R0045 source:spinnaker/gate@v6.69.0 gate-web/src/main/groovy/com/netflix/spinnaker/gate/controllers/AuthController.groovy:136
gate	v6.69.0	AwsCodeBuildController.getAccounts	GET	/codebuild/accounts	-	-	-	-	List<String>	-	-	typed	CLAIM-S2-R0046 source:spinnaker/gate@v6.69.0 gate-web/src/main/groovy/com/netflix/spinnaker/gate/controllers/AwsCodeBuildController.java:36
gate	v6.69.0	AwsCodeBuildController.getProjects	GET	/codebuild/projects/{account}	account	-	-	-	List<String>	-	-	typed	CLAIM-S2-R0047 source:spinnaker/gate@v6.69.0 gate-web/src/main/groovy/com/netflix/spinnaker/gate/controllers/AwsCodeBuildController.java:42
gate	v6.69.0	BakeController.bakeOptions	GET	/bakery/options	-	-	-	-	def	-	-	untyped-return	CLAIM-S2-R0048 source:spinnaker/gate@v6.69.0 gate-web/src/main/groovy/com/netflix/spinnaker/gate/controllers/BakeController.groovy:39
gate	v6.69.0	BakeController.bakeOptions	GET	/bakery/options/{cloudProvider}	cloudProvider	-	-	-	def	-	-	untyped-return	CLAIM-S2-R0049 source:spinnaker/gate@v6.69.0 gate-web/src/main/groovy/com/netflix/spinnaker/gate/controllers/BakeController.groovy:45
gate	v6.69.0	BakeController.lookupLogs	GET	/bakery/logs/{region}/{statusId}	region,statusId	-	-	-	def	-	-	untyped-return	CLAIM-S2-R0050 source:spinnaker/gate@v6.69.0 gate-web/src/main/groovy/com/netflix/spinnaker/gate/controllers/BakeController.groovy:51
gate	v6.69.0	BatchEntityTagsController.batchUpdate	POST	/batch/tags	-	application:optional	-	List<Map>	Map	202	-	untyped-both	CLAIM-S2-R0051 source:spinnaker/gate@v6.69.0 gate-web/src/main/groovy/com/netflix/spinnaker/gate/controllers/BatchEntityTagsController.java:41
gate	v6.69.0	BuildController.getBuildMasters	GET	/v2/builds	-	type:optional	-	-	List<String>	-	-	typed	CLAIM-S2-R0052 source:spinnaker/gate@v6.69.0 gate-web/src/main/groovy/com/netflix/spinnaker/gate/controllers/BuildController.groovy:50
gate	v6.69.0	BuildController.getJobsForBuildMaster	GET	/v2/builds/{buildMaster}/jobs	buildMaster	-	-	-	List<String>	-	-	typed	CLAIM-S2-R0053 source:spinnaker/gate@v6.69.0 gate-web/src/main/groovy/com/netflix/spinnaker/gate/controllers/BuildController.groovy:57
gate	v6.69.0	BuildController.getJobConfig	GET	/v2/builds/{buildMaster}/jobs/**	buildMaster	-	-	-	Map	-	-	untyped-return	CLAIM-S2-R0054 source:spinnaker/gate@v6.69.0 gate-web/src/main/groovy/com/netflix/spinnaker/gate/controllers/BuildController.groovy:64
gate	v6.69.0	BuildController.getBuilds	GET	/v2/builds/{buildMaster}/builds/**	buildMaster	-	-	-	List	-	-	raw-generic	CLAIM-S2-R0055 source:spinnaker/gate@v6.69.0 gate-web/src/main/groovy/com/netflix/spinnaker/gate/controllers/BuildController.groovy:72
gate	v6.69.0	BuildController.getBuild	GET	/v2/builds/{buildMaster}/build/{number}/**	buildMaster,number	-	-	-	Map	-	-	untyped-return	CLAIM-S2-R0056 source:spinnaker/gate@v6.69.0 gate-web/src/main/groovy/com/netflix/spinnaker/gate/controllers/BuildController.groovy:80
gate	v6.69.0	BuildController.v3GetBuildMasters	GET	/v3/builds	-	type:optional	-	-	List<String>	-	-	typed	CLAIM-S2-R0057 source:spinnaker/gate@v6.69.0 gate-web/src/main/groovy/com/netflix/spinnaker/gate/controllers/BuildController.groovy:94
gate	v6.69.0	BuildController.v3GetJobsForBuildMaster	GET	/v3/builds/{buildMaster}/jobs	buildMaster	-	-	-	List<String>	-	-	typed	CLAIM-S2-R0058 source:spinnaker/gate@v6.69.0 gate-web/src/main/groovy/com/netflix/spinnaker/gate/controllers/BuildController.groovy:100
gate	v6.69.0	BuildController.v3GetJobConfig	GET	/v3/builds/{buildMaster}/job	buildMaster	job:required	-	-	Map	-	-	untyped-return	CLAIM-S2-R0059 source:spinnaker/gate@v6.69.0 gate-web/src/main/groovy/com/netflix/spinnaker/gate/controllers/BuildController.groovy:106
gate	v6.69.0	BuildController.v3GetBuilds	GET	/v3/builds/{buildMaster}/builds	buildMaster	job:required	-	-	List	-	-	raw-generic	CLAIM-S2-R0060 source:spinnaker/gate@v6.69.0 gate-web/src/main/groovy/com/netflix/spinnaker/gate/controllers/BuildController.groovy:113
gate	v6.69.0	BuildController.v3GetBuild	GET	/v3/builds/{buildMaster}/build/{number}	buildMaster,number	job:required	-	-	Map	-	-	untyped-return	CLAIM-S2-R0061 source:spinnaker/gate@v6.69.0 gate-web/src/main/groovy/com/netflix/spinnaker/gate/controllers/BuildController.groovy:120
gate	v6.69.0	CanaryController.generateCanaryResult	POST	/canaries/{id:.+}/generateCanaryResult	id	-	-	GenerateResultCommand	void	201	-	typed	CLAIM-S2-R0062 source:spinnaker/gate@v6.69.0 gate-web/src/main/groovy/com/netflix/spinnaker/gate/controllers/CanaryController.groovy:37
gate	v6.69.0	CanaryController.showCanaryAnalysisHistory	GET	/canaryDeployments/{canaryDeploymentId}/canaryAnalysisHistory	canaryDeploymentId	-	-	-	List<Map>	-	-	untyped-return	CLAIM-S2-R0063 source:spinnaker/gate@v6.69.0 gate-web/src/main/groovy/com/netflix/spinnaker/gate/controllers/CanaryController.groovy:44
gate	v6.69.0	CanaryController.showCanary	GET	/canaries/{id}	id	-	-	-	Map	-	-	untyped-return	CLAIM-S2-R0064 source:spinnaker/gate@v6.69.0 gate-web/src/main/groovy/com/netflix/spinnaker/gate/controllers/CanaryController.groovy:49
gate	v6.69.0	CanaryController.endCanary	PUT	/canaries/{id:.+}/end	id	-	-	OverrideResultCommand	Map	-	-	untyped-return	CLAIM-S2-R0065 source:spinnaker/gate@v6.69.0 gate-web/src/main/groovy/com/netflix/spinnaker/gate/controllers/CanaryController.groovy:54
gate	v6.69.0	CanaryController.getCanaryConfigNames	GET	/canaryConfig/names	-	application:required	-	-	List<String>	-	-	typed	CLAIM-S2-R0066 source:spinnaker/gate@v6.69.0 gate-web/src/main/groovy/com/netflix/spinnaker/gate/controllers/CanaryController.groovy:59
gate	v6.69.0	CanaryController.canaryConfigsForApplication	GET	/canaryConfigs/{application}	application	-	-	-	List<Map>	-	-	untyped-return	CLAIM-S2-R0067 source:spinnaker/gate@v6.69.0 gate-web/src/main/groovy/com/netflix/spinnaker/gate/controllers/CanaryController.groovy:64
gate	v6.69.0	CapabilitiesController.getDeploymentMonitors	GET	/capabilities/deploymentMonitors	-	-	-	-	List<Object>	-	-	untyped-return	CLAIM-S2-R0068 source:spinnaker/gate@v6.69.0 gate-web/src/main/groovy/com/netflix/spinnaker/gate/controllers/CapabilitiesController.java:44
gate	v6.69.0	CapabilitiesController.getExpressionCapabilities	GET	/capabilities/expressions	-	-	-	-	Map	-	-	untyped-return	CLAIM-S2-R0069 source:spinnaker/gate@v6.69.0 gate-web/src/main/groovy/com/netflix/spinnaker/gate/controllers/CapabilitiesController.java:50
gate	v6.69.0	CapabilitiesController.getQuietPeriodState	GET	/capabilities/quietPeriod	-	-	-	-	Map	-	-	untyped-return	CLAIM-S2-R0070 source:spinnaker/gate@v6.69.0 gate-web/src/main/groovy/com/netflix/spinnaker/gate/controllers/CapabilitiesController.java:56
gate	v6.69.0	CertificateController.all	GET	/certificates	-	-	X-RateLimit-App:optional	-	List<Map>	-	-	untyped-return	CLAIM-S2-R0071 source:spinnaker/gate@v6.69.0 gate-web/src/main/groovy/com/netflix/spinnaker/gate/controllers/CertificateController.groovy:37
gate	v6.69.0	CertificateController.allByCloudProvider	GET	/certificates/{cloudProvider}	cloudProvider	-	X-RateLimit-App:optional	-	List<Map>	-	-	untyped-return	CLAIM-S2-R0072 source:spinnaker/gate@v6.69.0 gate-web/src/main/groovy/com/netflix/spinnaker/gate/controllers/CertificateController.groovy:43
gate	v6.69.0	CiController.getBuilds	GET	/ci/builds	-	projectKey:optional,repoSlug:optional,completionStatus:optional,buildNumber:optional,commitId:optional	-	-	List<Map<String, Object>>	-	-	untyped-return	CLAIM-S2-R0073 source:spinnaker/gate@v6.69.0 gate-web/src/main/groovy/com/netflix/spinnaker/gate/controllers/CiController.java:42
gate	v6.69.0	CiController.getBuildOutputById	GET	/ci/builds/{buildId}/output	buildId	-	-	-	Map<String, Object>	-	-	untyped-return	CLAIM-S2-R0074 source:spinnaker/gate@v6.69.0 gate-web/src/main/groovy/com/netflix/spinnaker/gate/controllers/CiController.java:52
gate	v6.69.0	CleanupController.optOut	GET	/cleanup/resources/{namespace}/{resourceId}/optOut	namespace,resourceId	-	-	-	Map	-	produces=application/json	untyped-return	CLAIM-S2-R0075 source:spinnaker/gate@v6.69.0 gate-web/src/main/groovy/com/netflix/spinnaker/gate/controllers/CleanupController.java:39
gate	v6.69.0	CleanupController.getMarkedResource	GET	/cleanup/resources/{namespace}/{resourceId}	namespace,resourceId	-	-	-	Map	-	produces=application/json	untyped-return	CLAIM-S2-R0076 source:spinnaker/gate@v6.69.0 gate-web/src/main/groovy/com/netflix/spinnaker/gate/controllers/CleanupController.java:55
gate	v6.69.0	CleanupController.getAllMarkedResources	GET	/cleanup/resources/marked	-	-	-	-	List	-	produces=application/json	raw-generic	CLAIM-S2-R0077 source:spinnaker/gate@v6.69.0 gate-web/src/main/groovy/com/netflix/spinnaker/gate/controllers/CleanupController.java:69
gate	v6.69.0	CleanupController.getAllDeletedResources	GET	/cleanup/resources/deleted	-	-	-	-	List	-	produces=application/json	raw-generic	CLAIM-S2-R0078 source:spinnaker/gate@v6.69.0 gate-web/src/main/groovy/com/netflix/spinnaker/gate/controllers/CleanupController.java:78
gate	v6.69.0	CloudMetricController.findAll	GET	/cloudMetrics/{cloudProvider}/{account}/{region}	cloudProvider,account,region	filters:required	X-RateLimit-App:optional	-	List<Map>	-	-	untyped-return	CLAIM-S2-R0079 source:spinnaker/gate@v6.69.0 gate-web/src/main/groovy/com/netflix/spinnaker/gate/controllers/CloudMetricController.groovy:37
gate	v6.69.0	CloudMetricController.getStatistics	GET	/cloudMetrics/{cloudProvider}/{account}/{region}/{metricName}/statistics	cloudProvider,account,region,metricName	startTime:optional,endTime:optional,filters:required	X-RateLimit-App:optional	-	Map	-	-	untyped-return	CLAIM-S2-R0080 source:spinnaker/gate@v6.69.0 gate-web/src/main/groovy/com/netflix/spinnaker/gate/controllers/CloudMetricController.groovy:47
gate	v6.69.0	ClusterController.getClusters	GET	/applications/{application}/clusters	application	-	X-RateLimit-App:optional	-	Map	-	-	untyped-return	CLAIM-S2-R0081 source:spinnaker/gate@v6.69.0 gate-web/src/main/groovy/com/netflix/spinnaker/gate/controllers/ClusterController.groovy:39
gate	v6.69.0	ClusterController.getClusters	GET	/applications/{application}/clusters/{account}	application,account	-	X-RateLimit-App:optional	-	List<Map>	-	-	untyped-return	CLAIM-S2-R0082 source:spinnaker/gate@v6.69.0 gate-web/src/main/groovy/com/netflix/spinnaker/gate/controllers/ClusterController.groovy:46
gate	v6.69.0	ClusterController.getClusters	GET	/applications/{application}/clusters/{account}/{clusterName:.+}	application,account,clusterName	-	X-RateLimit-App:optional	-	Map	-	-	untyped-return	CLAIM-S2-R0083 source:spinnaker/gate@v6.69.0 gate-web/src/main/groovy/com/netflix/spinnaker/gate/controllers/ClusterController.groovy:54
gate	v6.69.0	ClusterController.getClusterLoadBalancers	GET	/applications/{application}/clusters/{account}/{clusterName}/{type}/loadBalancers	application,account,clusterName,type	-	X-RateLimit-App:optional	-	List	-	-	raw-generic	CLAIM-S2-R0084 source:spinnaker/gate@v6.69.0 gate-web/src/main/groovy/com/netflix/spinnaker/gate/controllers/ClusterController.groovy:63
gate	v6.69.0	ClusterController.getServerGroups	GET	/applications/{application}/clusters/{account}/{clusterName}/serverGroups	application,account,clusterName	-	X-RateLimit-App:optional	-	List<Map>	-	-	untyped-return	CLAIM-S2-R0085 source:spinnaker/gate@v6.69.0 gate-web/src/main/groovy/com/netflix/spinnaker/gate/controllers/ClusterController.groovy:73
gate	v6.69.0	ClusterController.getScalingActivities	GET	/applications/{application}/clusters/{account}/{clusterName}/serverGroups/{serverGroupName}/scalingActivities	application,account,clusterName,serverGroupName	provider:optional,region:optional	X-RateLimit-App:optional	-	List<Map>	-	-	untyped-return	CLAIM-S2-R0086 source:spinnaker/gate@v6.69.0 gate-web/src/main/groovy/com/netflix/spinnaker/gate/controllers/ClusterController.groovy:82
gate	v6.69.0	ClusterController.getServerGroups	GET	/applications/{application}/clusters/{account}/{clusterName}/serverGroups/{serverGroupName:.+}	application,account,clusterName,serverGroupName	-	X-RateLimit-App:optional	-	List<Map>	-	-	untyped-return	CLAIM-S2-R0087 source:spinnaker/gate@v6.69.0 gate-web/src/main/groovy/com/netflix/spinnaker/gate/controllers/ClusterController.groovy:95
gate	v6.69.0	ClusterController.getTargetServerGroup	GET	/applications/{application}/clusters/{account:.+}/{clusterName:.+}/{cloudProvider}/{scope}/serverGroups/target/{target:.+}	application,account,clusterName,cloudProvider,scope,target	onlyEnabled:optional,validateOldest:optional	X-RateLimit-App:optional	-	Map	-	-	untyped-return	CLAIM-S2-R0088 source:spinnaker/gate@v6.69.0 gate-web/src/main/groovy/com/netflix/spinnaker/gate/controllers/ClusterController.groovy:109
gate	v6.69.0	ConcourseController.teams	GET	/concourse/{buildMaster}/teams	buildMaster	-	-	-	List<String>	-	-	typed	CLAIM-S2-R0089 source:spinnaker/gate@v6.69.0 gate-web/src/main/groovy/com/netflix/spinnaker/gate/controllers/ConcourseController.java:37
gate	v6.69.0	ConcourseController.pipelines	GET	/concourse/{buildMaster}/teams/{team}/pipelines	buildMaster,team	-	-	-	List<String>	-	-	typed	CLAIM-S2-R0090 source:spinnaker/gate@v6.69.0 gate-web/src/main/groovy/com/netflix/spinnaker/gate/controllers/ConcourseController.java:43
gate	v6.69.0	ConcourseController.jobs	GET	/concourse/{buildMaster}/teams/{team}/pipelines/{pipeline}/jobs	buildMaster,team,pipeline	-	-	-	List<String>	-	-	typed	CLAIM-S2-R0091 source:spinnaker/gate@v6.69.0 gate-web/src/main/groovy/com/netflix/spinnaker/gate/controllers/ConcourseController.java:50
